Created-Date,Tweet,Sentiment
7/22/2021 16:12,"ڇڊي پوک، ٿُلها سنگ. ,
2021-07-22 14:16:40,اڙي دوستو.. جنڊ… ,
2021-07-22 12:26:03,او ائين.. رحم با ,
2021-07-22 12:24:53,ماتا مان ايندو رهندو آهيان. کوڙ سارا آواز رڪارڊ بہ ڪيا ٿم. ,
2021-07-22 12:23:45,اخخخخ اي ڇڏيو ها… ,
2021-07-22 12:20:38,معنا اهو طئي آهي… ,
2021-07-22 12:16:33,هڪ تہ هيءَ مائي… ,
2021-07-22 09:43:36,سائين اهو ئي عرض ڪيو مون.. خبر پئي تہ هي سيوهڻ جو هڪ پاڙو آ.. اتان جي ئي هڪ صحافي سائين مجاهد شاھ… ,
2021-07-22 09:26:08,ماتا جيڪو اوهان سمجهو ,
2021-07-22 09:14:58,اھا جيڪا سرڪار اٿوَ اها انهن فردن ئي ٺاهي اٿوَ. هاڻي سمجهيوَ؟ ,
2021-07-22 09:05:26,ڪو احسان ناهي.. هي وقت جي ضرورت هئي جيڪا محسوس ٿي رهي هئي. جيئن اردوءَ  ريختا ڊاٽ ڪام آهي تيئن ڇا رسالي… ,
2021-07-22 09:01:02,ادا ان طرف تہ سڀ ڪنھن ڌيان ڏياريو آ.. مان تہ ان پاسي ڏانھن سوچرايان ٿو جيڪو نظرانداز ٿئي ٿو. ,
2021-07-22 08:18:57,بس بابا.. مان چپ. ڳالهہ مان الائي ڪاڏي طول ڏنو ويندو آهي. خدا پاڪ آسانيون ڏي اوهان کي.  ,
2021-07-22 08:15:39,بابا هائو. بلڪل منھنجي غلطي. سکيا هجو. ,
2021-07-22 08:10:02,پھريون انهن کان تہ پڇا ڪريو تہ اڍائي سرن جي مسيت جيڪا آهي بہ نہ، نماز ڪٿي پڙهجي ان جا ديني شرعي ڪي اص… ,
2021-07-22 08:07:57,جي سائين.. اڳڪٿي پروگرامنگ جي چڪ. بلڪل درست آهيو اوهان ادا ,
2021-07-22 08:07:06,ها سائين.. ڪھڙي خبر ,
2021-07-22 08:02:37,چيو پيو وڃي تہ هي ميھڙ  عيد نماز ادا ڪئي پئي وڃي. ,
2021-07-22 07:48:26,هتي اناج جو ڪٿي با، ,
2021-07-22 07:14:22,ناراض نہ ٿيندا سائين باقي اوهان جي سوال  ئي لڳي ٿو اوهان وٽ ڌڪار آهي. سڌي ڳالهہ آهي تہ مجموعي طرح اسا… ,
2021-07-22 06:51:25,سنڌي ٻوليءَ  وڻج بہ ان سان ئي لاڳاپيل.. وڻج وڻڪ واڻڪو جتان يونان  وورڪ وري انگريزي  ورڪ ,
2021-07-22 06:49:50,واپاري هندو، هندو دڪاندار. مهتو، هندو. دڪاندار، واپاري، سوداگر، ,
2021-07-22 06:48:51,اوهان واڻيي لفظ جي معنا سمجهيو ته هوند پاڻ بہ سڏايو ,
2021-07-22 06:03:37,سائين سندن کي"" جي جاءِ سنئون سڌو ""کین"" لکو. هاڻي پڙهو. ",
7/22/2021 6:00,جاني اهو سائنسي ميٽرڪس آهي. تڪڙو سمجهہ  نہ ايندو. ,
7/22/2021 5:35,اڪثر سوچيندو آھيان تہ ڀٽائي سر ڪلياڻ  ڪيڏو ميسوڪسٽ عشق جي ڳالھہ ڪندو آھي. رڳو ڪاتي، وڍ ڪٽ، مار ماران. محبوب صفا ڪا… ,
7/22/2021 5:10,ڀٽائي پيديا  ھي ,
7/22/2021 4:56,سنڌ جي ڏاهي نياڻي  اسان جي شفيق ڀيڻ سانئڻ نورالهدا شاھ اوهان کي جنم ڏهاڙي جون لک لک واڌايون هجن. مولا پاڪ اوھان کي… ,
7/21/2021 20:47,اوهان کي هزارين سال پراڻي سنڌي ٻڌڻي آ تہ وچين حصي  نہ پر پاسن وارن علائقن طرف هليا وڃو. ,
7/21/2021 20:32,اهو آواز نہ ٿو هلي ڇا؟ ,
7/21/2021 19:56,خيال خيال جي ڳالهہ آ ابا. ,
7/21/2021 19:56,سائين مون وٽ جهجهي ڄاڻ آهي انڪري جو اسان رپورٽنگ ڪندا رهيا آهيون. ,
7/21/2021 19:51,وڌيڪ سائين رياض اڄڻ صاحب بھتر ٻڌائي سگهي ٿو ڪهڙا باغائي امير ٿيا آهن کجين جي فصل مان.. ,
7/21/2021 19:48,هئو سائين ,
7/21/2021 19:48,ڪاوڙ ناهي. پر سچ ,
7/21/2021 19:47,ڪو هڪ بيکر اهڙو آهي جنھن کجين مان ڪمائي وڏا ڪاروبار ڪيا هجن؟ ڪٿي کتمٺڙي تي راضي ٿي ڪيڪ کان تہ ٿا وڃ… ,
7/21/2021 19:43,مان سمجهان ٿو مير سئو سيڪڙو سچ ٿو ڳالهائي. ,
7/21/2021 19:34,سائين وڏا ٿورا اوهان جا ,
7/21/2021 19:30,سنڌ  بهترين تعليم يا ته واڻيي پڙهائي يا وري واڻيي جي پڙهيل پڙهائي. ,
7/21/2021 19:27,بلڪل ائين ئي آ سائين ,
7/21/2021 19:27,غليظ وڻ آ.. فارمي ڪڪڙين جيان ,
7/21/2021 19:26, بيڪار مند ٿي پئي آ.. اسٽوپڊ راسڪل  ,
7/21/2021 19:25,موسميات  اڪولاجيءَ جا ماهر اهو ئي چون ٿا. کجين جي تابڪاري ڪري مينھن گهٽ پون. ساڳي ڳالهہ ڪوني ڪارپس سان بہ آ. ,
7/21/2021 19:11,ها وڃي ڏسو.. هيروئنيءَ جيان چيڙائي ٿو ڄڻ..  ,
7/21/2021 19:09,خيرپور جي کجين جو وڏو فائدو وٺندڙ بيکر يعني کجين جو باغائي نہ پر ڪميشن ايجنٽ يعني دلال آهي. ,
7/21/2021 17:51,بلڪل. مصيبت آ تہ جيئن ڳوٺائي ميلي  اچي وڃجي  هر پاسي بس گوڙ هجي تہ لڳندو آ الائي ڇو اچي وياسي. ائي… ,
7/21/2021 17:37,پيارا اهو لفظ ميارون ٿيندو معيارون نہ..  ,
7/21/2021 17:33,24 ئي ڪلاڪ ڀوڳ، کل، مستي  ,
7/21/2021 17:07,آگ برساتا آسماں ,
7/21/2021 16:44,ها ڇونہ.. چوسر هجي يا چوپڙ.. ٺيٺ سنڌي اوائلي رانديون آهن. ,
7/21/2021 14:03,ايٿرا ٻار، ڀوڳَي ,
7/21/2021 13:58,هيءَ ٻولي ڪنھن بہ طرح سان ربن يا عليءَ پاران ناقابل قبول آهي. هي ڪو فھميدو لھجو ناهي. سوين اختلاف هجن پ… ,
7/21/2021 13:39,پيارا اھو ٺيٺ سنڌيءَ جو ”ھونئن“ ئي ٺھندو آھي. جيڪو انگريزيءَ  ,
7/21/2021 13:34,جاني اھو ”ويسي“ ڇا آھي؟ ,
7/21/2021 13:34,بيشڪ ائين ئي آھي. ڊاڪٽر علي شريعتي، ھڪ ڪمال جو مدبر انسان ٿي گذريو آھي. ھن جا ڪتاب پڙھڻ کان پوءِ احساس… ,
7/21/2021 13:30,ڏَورِ ڏِيئو ھٿ ڪري، ڏَورِ مَ ڏِيئان ڌار ,
7/21/2021 13:22,پيارا آزاد، ھي ڪيڏو تہ خطرناڪ جملو آھي... عام ماڻهو تہ ھن سطح تائين پھچي بہ نہ سگهندو.. ,
